SlNo,Gender,Gender-B,Percent_SSC,Board_SSC,Board_CBSE,Board_ICSE,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Degree_Engg,Experience_Yrs,Entrance_Test,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA,Placement,Placement_B,Salary
361,M,0,56,Others,0,0,57,Others,Commerce,59,Commerce,0,0,MAT,1,62,62,56.81,Marketing & Finance,50,73,50,Placed,1,250000
362,M,0,82,Others,0,0,72,Others,Commerce,66,Commerce,0,0,MAT,1,26.53,26.53,60.39,Marketing & Finance,72,56,62,Placed,1,426000
363,M,0,72,Others,0,0,49,Others,Commerce,47,Commerce,0,1,MAT,1,98,98,60.04,Marketing & Finance,50,60,62,Placed,1,270000
364,M,0,44,CBSE,1,0,45,CBSE,Science,64,Management,0,0,MAT,1,97,97,53.39,Marketing & Finance,60,58,58,Not Placed,0,0
365,M,0,80.33,ICSE,0,1,75,Others,Commerce,55,Commerce,0,1,MAT,1,88.56,88.56,71.55,Marketing & Finance,74,77,54,Placed,1,300000
366,M,0,49.3,Others,0,0,49,Others,Science,54,Commerce,0,0,K-MAT,1,64,64,56.45,Marketing & HR,58,66,69,Placed,1,132000
367,F,1,46,CBSE,1,0,65,Others,Science,71,Management,0,0,MAT,1,92.66,92.66,62.92,Marketing & HR,55,71,82,Placed,1,144000
368,M,0,60,ICSE,0,1,65,Others,Science,67,Arts,0,1,None,0,0,0,55.4,Marketing & HR,50,67,50,Placed,1,220000
369,M,0,54,CBSE,1,0,67,CBSE,Commerce,61,Management,0,0,MAT,1,67,67,56.49,Marketing & Finance,53,71,74,Placed,1,216000
370,M,0,77.6,Others,0,0,79,Others,Commerce,75.6,Commerce,0,0,MAT,1,91,91,74.49,Marketing & Finance,85,85,83,Placed,1,400000
371,M,0,50,Others,0,0,52,Others,Science,70,Computer Applications,0,0,MAT,1,74,74,53.62,Marketing & Finance,50,74,50,Placed,1,275000
372,M,0,62,Others,0,0,62,Others,Commerce,71,Commerce,0,3,MAT,1,59,59,69.72,Marketing & Finance,63,71,61,Placed,1,295000
373,M,0,72.64,Others,0,0,47.34,Others,Science,83.33,Computer Applications,0,0,CAT,1,73,73,65.8,Marketing & HR,72,75,78,Placed,1,360000
374,F,1,69,Others,0,0,61,Others,Commerce,52,Commerce,0,0,MAT,1,70,70,60.23,Marketing & HR,59,61,60,Placed,1,204000
375,F,1,52,Others,0,0,52.8,Others,Commerce,59.52,Management,0,0,MAT,1,33.91,33.91,62.42,Marketing & Finance,68,68,66,Not Placed,0,0
376,M,0,67,ICSE,0,1,63,Others,Science,55,Management,0,0,MAT,1,89,89,60.22,Marketing & HR,66,63,61,Not Placed,0,0
377,M,0,46,CBSE,1,0,54,Others,Commerce,65,Management,0,0,MAT,1,71.32,71.32,52.36,Marketing & Finance,50,72,58,Not Placed,0,0
378,M,0,65.92,Others,0,0,86,Others,Commerce,72,Commerce,0,1,K-MAT,1,66,66,66.22,Marketing & Finance,80,63,55,Placed,1,350000
379,M,0,53.8,Others,0,0,46.3,Others,Science,66.1,Management,0,0,MAT,1,30.71,30.71,56,Marketing & Finance,53,55,55,Not Placed,0,0
380,F,1,85.8,CBSE,1,0,85,CBSE,Science,88.8,Management,0,0,MAT,1,96.16,96.16,77.3,Marketing & HR,88,80,63,Placed,1,300000
381,M,0,53.4,ICSE,0,1,54.2,CBSE,Commerce,54,Computer Applications,0,0,MAT,1,0,0,53.19,Marketing & Finance,53,68,62,Placed,1,180000
382,M,0,67,Others,0,0,76,Others,Commerce,60,Management,0,0,MAT,1,48.38,48.38,50.83,Marketing & HR,54,57,51,Not Placed,0,0
383,F,1,58.29,Others,0,0,55,Others,Science,61,Management,0,0,K-MAT,1,71,71,56.81,Marketing & Finance,64,66,57,Not Placed,0,0
384,M,0,61,Others,0,0,53,Others,Commerce,65,Management,0,0,MAT,1,46.47,46.47,59.14,Marketing & HR,54,69,57,Not Placed,0,0
385,M,0,67.2,Others,0,0,69.29,Others,Commerce,56,Computer Applications,0,0,G-SAT,1,0,0,61,Marketing & Finance,58,63,67,Placed,1,252000
386,M,0,70,CBSE,1,0,55,Others,Science,72,Management,0,0,CAT,1,50,50,67.94,Marketing & Finance,77,70,54,Not Placed,0,0
387,M,0,62.6,Others,0,0,50.6,Others,Commerce,52,Management,0,0,MAT,1,34.53,34.53,58.63,Marketing & HR,62,57,56,Placed,1,162000
388,M,0,77,Others,0,0,49.5,Others,Science,64,Management,0,0,MAT,1,50.53,50.53,59.5,Marketing & Finance,70,59,56,Placed,1,450000
389,M,0,66.4,Others,0,0,72,Others,Commerce,57,Management,0,0,MAT,1,60,60,61.63,Marketing & IB,73,73,54,Placed,1,240000
390,F,1,70,ICSE,0,1,77,ISC,Commerce,53,Commerce,0,0,MAT,1,77,77,70.17,Marketing & Finance,67,77,57,Placed,1,300000
391,M,0,74,Others,0,0,85,Others,Commerce,60,Commerce,0,0,MAT,1,58.89,58.89,60.36,Marketing & Finance,64,67,63,Not Placed,0,0
